 # IDSA ray
 # dr [km]   dr[km]  Rin[km]  R[km]  Rout[km]
   0.4882812E+00   0.4882812E+00   0.1074219E+03   0.1076660E+03   0.1079102E+03
   0.4882812E+00   0.4882812E+00   0.1079102E+03   0.1081543E+03   0.1083984E+03
   0.4882812E+00   0.4882812E+00   0.1083984E+03   0.1086426E+03   0.1088867E+03
   0.4882812E+00   0.4882812E+00   0.1088867E+03   0.1091309E+03   0.1093750E+03
   0.4882812E+00   0.4882812E+00   0.1093750E+03   0.1096191E+03   0.1098633E+03
   0.4882812E+00   0.4882812E+00   0.1098633E+03   0.1101074E+03   0.1103516E+03
   0.4882812E+00   0.4882812E+00   0.1103516E+03   0.1105957E+03   0.1108398E+03
   0.4882812E+00   0.4882812E+00   0.1108398E+03   0.1110840E+03   0.1113281E+03
   0.4882812E+00   0.4882812E+00   0.1113281E+03   0.1115723E+03   0.1118164E+03
   0.4882812E+00   0.4882812E+00   0.1118164E+03   0.1120605E+03   0.1123047E+03
   0.4882812E+00   0.4882812E+00   0.1123047E+03   0.1125488E+03   0.1127930E+03
   0.4882812E+00   0.4882812E+00   0.1127930E+03   0.1130371E+03   0.1132812E+03
   0.4882812E+00   0.4882812E+00   0.1132812E+03   0.1135254E+03   0.1137695E+03
   0.4882812E+00   0.4882812E+00   0.1137695E+03   0.1140137E+03   0.1142578E+03
   0.4882812E+00   0.4882812E+00   0.1142578E+03   0.1145020E+03   0.1147461E+03
   0.4882812E+00   0.4882812E+00   0.1147461E+03   0.1149902E+03   0.1152344E+03
   0.4882812E+00   0.4882812E+00   0.1152344E+03   0.1154785E+03   0.1157227E+03
   0.4882812E+00   0.4882812E+00   0.1157227E+03   0.1159668E+03   0.1162109E+03
   0.4882812E+00   0.4882812E+00   0.1162109E+03   0.1164551E+03   0.1166992E+03
   0.4882812E+00   0.4882812E+00   0.1166992E+03   0.1169434E+03   0.1171875E+03
   0.4882812E+00   0.4882812E+00   0.1171875E+03   0.1174316E+03   0.1176758E+03
   0.4882812E+00   0.4882812E+00   0.1176758E+03   0.1179199E+03   0.1181641E+03
   0.4882812E+00   0.4882812E+00   0.1181641E+03   0.1184082E+03   0.1186523E+03
   0.4882812E+00   0.4882812E+00   0.1186523E+03   0.1188965E+03   0.1191406E+03
   0.4882812E+00   0.4882812E+00   0.1191406E+03   0.1193848E+03   0.1196289E+03
   0.4882812E+00   0.4882812E+00   0.1196289E+03   0.1198730E+03   0.1201172E+03
   0.4882812E+00   0.4882812E+00   0.1201172E+03   0.1203613E+03   0.1206055E+03
   0.4882812E+00   0.4882812E+00   0.1206055E+03   0.1208496E+03   0.1210938E+03
   0.4882812E+00   0.4882812E+00   0.1210938E+03   0.1213379E+03   0.1215820E+03
   0.4882812E+00   0.4882812E+00   0.1215820E+03   0.1218262E+03   0.1220703E+03
   0.4882812E+00   0.4882812E+00   0.1220703E+03   0.1223145E+03   0.1225586E+03
   0.4882812E+00   0.4882812E+00   0.1225586E+03   0.1228027E+03   0.1230469E+03
   0.4882812E+00   0.4882812E+00   0.1230469E+03   0.1232910E+03   0.1235352E+03
   0.4882812E+00   0.4882812E+00   0.1235352E+03   0.1237793E+03   0.1240234E+03
   0.4882812E+00   0.4882812E+00   0.1240234E+03   0.1242676E+03   0.1245117E+03
   0.4882812E+00   0.4882812E+00   0.1245117E+03   0.1247559E+03   0.1250000E+03
   0.4922651E+00   0.4922651E+00   0.1250000E+03   0.1252461E+03   0.1254923E+03
   0.4962814E+00   0.4962814E+00   0.1254923E+03   0.1257404E+03   0.1259885E+03
   0.5003305E+00   0.5003305E+00   0.1259885E+03   0.1262387E+03   0.1264889E+03
   0.5044126E+00   0.5044126E+00   0.1264889E+03   0.1267411E+03   0.1269933E+03
   0.5085281E+00   0.5085281E+00   0.1269933E+03   0.1272476E+03   0.1275018E+03
   0.5126771E+00   0.5126771E+00   0.1275018E+03   0.1277582E+03   0.1280145E+03
   0.5168599E+00   0.5168599E+00   0.1280145E+03   0.1282729E+03   0.1285314E+03
   0.5210769E+00   0.5210769E+00   0.1285314E+03   0.1287919E+03   0.1290524E+03
   0.5253283E+00   0.5253283E+00   0.1290524E+03   0.1293151E+03   0.1295778E+03
   0.5296144E+00   0.5296144E+00   0.1295778E+03   0.1298426E+03   0.1301074E+03
   0.5339355E+00   0.5339355E+00   0.1301074E+03   0.1303743E+03   0.1306413E+03
   0.5382918E+00   0.5382918E+00   0.1306413E+03   0.1309105E+03   0.1311796E+03
   0.5426836E+00   0.5426836E+00   0.1311796E+03   0.1314509E+03   0.1317223E+03
   0.5471113E+00   0.5471113E+00   0.1317223E+03   0.1319958E+03   0.1322694E+03
   0.5515751E+00   0.5515751E+00   0.1322694E+03   0.1325452E+03   0.1328210E+03
   0.5560754E+00   0.5560754E+00   0.1328210E+03   0.1330990E+03   0.1333770E+03
   0.5606123E+00   0.5606123E+00   0.1333770E+03   0.1336574E+03   0.1339377E+03
   0.5651863E+00   0.5651863E+00   0.1339377E+03   0.1342203E+03   0.1345028E+03
   0.5697976E+00   0.5697976E+00   0.1345028E+03   0.1347877E+03   0.1350726E+03
   0.5744465E+00   0.5744465E+00   0.1350726E+03   0.1353599E+03   0.1356471E+03
   0.5791333E+00   0.5791333E+00   0.1356471E+03   0.1359367E+03   0.1362262E+03
   0.5838584E+00   0.5838584E+00   0.1362262E+03   0.1365182E+03   0.1368101E+03
   0.5886220E+00   0.5886220E+00   0.1368101E+03   0.1371044E+03   0.1373987E+03
   0.5934245E+00   0.5934245E+00   0.1373987E+03   0.1376954E+03   0.1379921E+03
   0.5982662E+00   0.5982662E+00   0.1379921E+03   0.1382913E+03   0.1385904E+03
   0.6031473E+00   0.6031473E+00   0.1385904E+03   0.1388920E+03   0.1391935E+03
   0.6080683E+00   0.6080683E+00   0.1391935E+03   0.1394976E+03   0.1398016E+03
   0.6130295E+00   0.6130295E+00   0.1398016E+03   0.1401081E+03   0.1404146E+03
